IP	MAC	TYPE	OUI
10.8.8.1	00-ff-1b-da-22-de	dynamic	
224.0.0.22	01-00-5e-00-00-16	static	
224.0.0.251	01-00-5e-00-00-fb	static	
224.0.0.252	01-00-5e-00-00-fc	static	
239.255.255.250	01-00-5e-7f-ff-fa	static	
255.255.255.255	ff-ff-ff-ff-ff-ff	static	
192.168.1.1	16-91-82-2c-53-51	dynamic	
192.168.1.151	00-17-88-22-4b-4b	dynamic	Philips Lighting BV
192.168.1.199	7c-67-a2-95-11-9a	dynamic	Intel Corporate
192.168.1.246	44-09-b8-00-93-68	dynamic	Salcomp (Shenzhen) CO., LTD.
224.0.0.22	01-00-5e-00-00-16	static	
239.255.255.250	01-00-5e-7f-ff-fa	static	
